Prev.Length,Match.Score,Tile.Size,Prev.Type
30,60,0.2,TT
30,70,0.2,TT
30,75,0.2,TT
30,80,0.2,TT
30,85,0.2,TT
30,90,0.2,TT
120,75,0.2,TT
120,80,0.2,TT
120,85,0.2,TT
120,90,0.2,TT
120,95,0.2,TT
120,100,0.2,TT
45,60,0.2,TT
45,70,0.2,TT
45,75,0.2,TT
45,80,0.2,TT
45,85,0.2,TT
45,90,0.2,TT
60,75,0.2,TT
60,80,0.2,TT
60,85,0.2,TT
60,90,0.2,TT
60,95,0.2,TT
60,100,0.2,TT
75,60,0.2,TT
75,70,0.2,TT
75,75,0.2,TT
75,80,0.2,TT
75,85,0.2,TT
75,90,0.2,TT
90,75,0.2,TT
90,80,0.2,TT
90,85,0.2,TT
90,90,0.2,TT
90,95,0.2,TT
90,100,0.2,TT